id,num_orders
1028232,414.25354
1262649,414.25354
1453211,414.25354
1262599,414.25354
1495848,414.25354
1342607,414.25354
1358429,414.25354
1475006,414.25354
1009709,414.25354
1127204,232.61107
1454285,232.61107
1230213,232.61107
1216199,232.61107
1338024,232.61107
1316220,232.61107
1261077,232.61107
1499021,232.61107
1384202,232.61107
1327954,232.61107
1212707,129.3956
1313597,129.3956
1412241,129.3956
1082698,-37.973846
1308392,-6.630717
1199853,-19.207933
1022140,-19.207933
1352470,-19.207933
1189345,-46.718464
1490265,-40.87205
1348230,-46.718464
1400926,-34.713913
1383499,-17.755346
1126038,-28.541348
1286555,-28.541348
1375120,-26.256348
1159696,-24.586746
1088236,-28.541348
1217593,-2.325639
1136291,-2.325639
1317437,-34.713913
1284113,226.62334
1182008,183.27061
1065218,226.62334
1405233,226.62334
1275037,190.18614
1474230,190.18614
1215183,160.92758
1435232,180.6518
1143903,178.03703
1358874,180.6518
1197966,290.2197
1108691,290.2197
1407227,290.2197
1156240,253.78255
1359242,253.78255
1101112,253.78255
1396786,269.85162
1214504,254.8601
1305039,254.8601
1066722,257.47467
1132739,290.20532
1010460,295.83313
1195857,295.83313
1247979,362.70895
1035595,434.01187
1069260,288.0645
1094702,434.01187
1240856,295.83313
1007680,295.83313
1426661,245.98083
1057981,115.417496
1297433,117.549545
1064848,103.20325
1323764,103.20325
1020465,103.20325
1332048,115.417496
1089745,116.46626
1310777,103.20325
1455214,103.20325
1189682,103.20325
1095932,117.549545
1086204,117.549545
1347932,117.549545
1323389,117.549545
1360373,117.549545
1369485,117.549545
1156482,115.417496
1473466,117.549545
1107803,117.549545
1361421,117.549545
1454421,97.82756
1483482,97.82756
1006934,112.17385
1337295,112.17385
1331277,112.17385
1444811,97.82756
1103642,112.17385
1182198,112.17385
1497051,97.82756
1488795,112.17385
1149765,421.69003
1225876,421.69003
1415546,421.69003
1078113,430.2152
1490342,1652.0315
1143538,2047.201
1342267,421.69003
1442839,421.69003
1137292,2346.771
1394848,1273.4758
1166964,240.75089
1246650,240.75089
1436167,240.75089
1354222,240.75089
1135520,240.75089
1087917,240.75089
1025372,240.75089
1105223,240.75089
1119382,240.75089
1412980,240.75089
1010949,243.80031
1257911,243.80031
1155840,243.80031
1005910,265.86078
1268420,739.04816
1499109,739.04816
1022495,258.56143
1050999,243.80031
1481138,263.30792
1388481,243.80031
1409575,-97.3132
1125328,-95.54634
1216882,-95.54634
1181616,-51.381794
1197754,-51.381794
1341473,-54.14178
1183839,-51.381794
1412036,-51.381794
1294587,-51.381794
1207154,-51.381794
1456020,302.87717
1204510,302.87717
1420426,302.87717
1467938,302.87717
1466987,302.87717
1260987,302.87717
1136679,302.87717
1334365,302.87717
1424034,302.87717
1080646,302.87717
1264395,237.36244
1199994,790.8526
1264068,237.36244
1102366,256.88388
1411928,237.36244
1302832,237.36244
1430125,1737.0657
1179547,1008.1052
1432135,237.36244
1423780,237.36244
1472931,149.45544
1484697,949.3875
1160231,149.45544
1104329,149.45544
1176781,149.45544
1399279,147.78232
1016676,1429.2473
