id,num_orders
1028232,88.12
1262649,72.26
1453211,85.38
1262599,80.8
1495848,72.26
1342607,80.58
1358429,68.74
1475006,68.74
1009709,88.12
1127204,58.86
1454285,109.34
1230213,79.08
1216199,75.02
1338024,85.06
1316220,79.08
1261077,95.26
1499021,68.9
1384202,70.42
1327954,69.34
1212707,132.8
1313597,127.12
1412241,127.68
1082698,75.56
1308392,105.54
1199853,111.5
1022140,120.84
1352470,131.52
1189345,85.76
1490265,74.26
1348230,80.12
1400926,65.06
1383499,58.86
1126038,62.58
1286555,82.84
1375120,56.74
1159696,66.92
1088236,82.88
1217593,35.52
1136291,43.78
1317437,60.5
1284113,242.12
1182008,220.32
1065218,228.8
1405233,242.12
1275037,212.16
1474230,210.0
1215183,198.38
1435232,217.44
1143903,230.48
1358874,235.18
1197966,335.3
1108691,340.34
1407227,335.32
1156240,335.88
1359242,336.46
1101112,335.88
1396786,309.16
1214504,203.1
1305039,207.94
1066722,199.92
1132739,240.5
1010460,225.38
1195857,225.24
1247979,293.28
1035595,282.48
1069260,250.32
1094702,294.6
1240856,226.18
1007680,232.8
1426661,239.74
1057981,98.68
1297433,67.16
1064848,36.6
1323764,29.0
1020465,45.3
1332048,59.94
1089745,81.94
1310777,77.82
1455214,36.6
1189682,52.68
1095932,123.7
1086204,92.68
1347932,168.72
1323389,173.34
1360373,96.0
1369485,184.88
1156482,109.52
1473466,99.64
1107803,203.12
1361421,92.68
1454421,181.14
1483482,143.58
1006934,171.6
1337295,139.56
1331277,133.28
1444811,143.58
1103642,224.6
1182198,110.02
1497051,133.52
1488795,134.94
1149765,242.72
1225876,185.66
1415546,389.5
1078113,252.24
1490342,961.84
1143538,1043.56
1342267,249.18
1442839,184.34
1137292,1313.48
1394848,702.62
1166964,377.62
1246650,364.52
1436167,364.52
1354222,359.46
1135520,359.46
1087917,409.6
1025372,359.46
1105223,465.26
1119382,359.46
1412980,409.6
1010949,341.36
1257911,341.36
1155840,324.26
1005910,372.0
1268420,569.3
1499109,546.04
1022495,265.96
1050999,324.76
1481138,322.22
1388481,343.34
1409575,85.26
1125328,16.04
1216882,19.52
1181616,17.92
1197754,17.92
1341473,26.36
1183839,22.28
1412036,24.82
1294587,14.06
1207154,17.92
1456020,177.78
1204510,177.78
1420426,317.66
1467938,391.44
1466987,183.04
1260987,181.8
1136679,162.0
1334365,181.8
1424034,218.0
1080646,183.04
1264395,269.62
1199994,677.68
1264068,263.98
1102366,392.28
1411928,265.32
1302832,272.86
1430125,1700.4
1179547,1163.24
1432135,272.86
1423780,272.86
1472931,29.0
1484697,1222.98
1160231,42.76
1104329,45.1
1176781,42.26
1399279,50.96
1016676,1866.12
1212768,1146.26
1401817,48.12
1076968,48.12
1412015,98.74
1176447,64.78
1253823,103.74
1494779,103.74
1036773,103.74
1208909,139.02
1248167,122.16
1392970,115.86
1444295,81.34
1461229,109.46
1183783,101.18
1343779,96.6
1335558,107.84
1221537,86.96
1081323,122.26
1389983,87.98
1261113,137.22
1387450,90.26
1338940,122.86
1014564,307.08
1206185,320.16
1392612,329.06
1309171,358.54
1126294,329.06
1339737,177.78
1337158,153.3
1429763,137.8
1092832,206.6
1066511,201.54
1485914,107.06
1299729,108.98
1460115,105.18
1299132,107.1
1137246,124.62
1251637,126.02
1221233,108.98
1151884,105.18
1187774,110.84
1156979,107.1
1345389,87.88
1388295,87.88
1209508,80.0
1476668,87.88
1413395,162.94
